rho_n,cs2
2.1641297154202515, 0.5016627445055533
2.121773659827929, 0.47783746323487153
2.058239576439444, 0.44507720882264556
2.026472534745202, 0.4242305803758377
1.9947054930509593, 0.40636161942282656
1.957643944407677, 0.38849216580477663
1.9364659166115152, 0.3750906914225375
1.9205823957643946, 0.3616897097053371
1.888815354070152, 0.34828724999302074
1.8676373262739903, 0.3363746093576798
1.8464592984778294, 0.31701779998784774
1.8146922567835868, 0.3006376727817346
1.7723362011912642, 0.2783012252579513
1.7352746525479819, 0.25894293789300304
1.7035076108537393, 0.24107397693999189
1.666446062210456, 0.2246933570688402
1.639973527465255, 0.2083137225277658
1.5976174718729315, 0.19193260999157558
1.5764394440767702, 0.18001996935623477
1.5340833884844476, 0.16215002307314608
1.4970218398411648, 0.14428056945509615
